,dr2_source_id,dr3_source_id,Cluster,plx_cluster,e_plx_cluster,SimbadName_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,ra2000,dec2000,gmag,bpmag,dr2_bp_flux_over_error,rpmag,dr2_rp_flux_over_error,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_FUV,FUVmag,e_FUVmag,Fafl,objid_NUV,NUVmag,e_NUVmag,Nafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,u_psf,e_u_psf,v_flags,v_nimaflags,v_ngood,v_psf,e_v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_2MASS,rd_flg,bl_flg,cc_flg,use_src,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags_WISE,ext_flg_WISE,ph_qual_WISE,moon_lev_WISE,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN
7277,604916598562886272,604916598562886272,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,-9223372036854775808,                 ,                   ,132.87492405320623,11.773398091747415,17.15606,17.905403,92.87309,16.268852,245.90366,1.0994147664082934,0.08501152,1.0458337,2660.2891043373006,1.8617036,404,17.125044,17.909771,16.26468,808.36194,872.0103,944.1868,824.6192,870.6951,921.9163,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,,,,,,,   ,-32768,-32768,   ,-2147483648,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
7278,604916632922617088,604916632922617088,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671262272290987,08513411+1146557 ,J085134.11+114655.7,132.89216782415474,11.782164844244317,14.041669,14.36489,1051.8822,13.558396,982.7385,1.1428496755807436,0.02081827,0.9349724,46080.197100880345,7.4607205,442,14.028581,14.344998,13.549036,828.9139,846.0043,860.61426,834.59216,849.4229,868.32135,6377811980464426299,,,0,6377811980464426299,19.362,0.0715,1,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,13.004,0.022,12.75,0.022,12.682,0.023,AAA,222,111,000,1,12.65,0.023,12.741,0.026,12.289,,8.885,,hh00,0,AAUU,0000,                            ,,,,        ,
7279,604916667282344576,604916667282344576,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671262272291294,08514401+1146245 ,J085144.00+114624.4,132.93336470317504,11.773482021420158,12.601736,12.986186,883.29083,12.06384,1720.7708,1.1928675245477283,0.01707695,0.9610311,173395.80197612435,33.4015,392,12.58977,12.961867,12.053606,812.96796,824.37866,835.95,807.78455,819.17,830.7632,6377811980464426154,,,0,6377811980464426154,18.417,0.0525,0,14.61641,0.0115073,,,,,,,12.32688,0.01164734,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.438,0.022,11.11,0.022,11.027,0.02,AAA,222,111,000,1,10.981,0.022,11.034,0.021,10.868,0.122,8.514,,0000,0,AABU,0000,                            ,,,,        ,
7280,604916697346488960,604916697346488960,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671262272291297,08514484+1146310 ,                   ,132.9368664613471,11.775285900590266,17.654888,18.473896,63.11015,16.67972,164.56671,1.1484106186508898,0.11878126,0.9931252,1680.1925495780772,1.57548,413,17.62397,18.488525,16.681686,766.52045,864.7859,943.05896,779.1792,845.3651,934.44586,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,21.7846,0.1177916,19.1648,0.0131051,,,17.08307,0.01015104,16.71422,0.01371979,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,15.469,0.052,14.821,0.069,14.701,0.081,AAA,222,111,000,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
7281,604916736001826432,604916736001826432,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671262272290990,08514045+1146378 ,J085140.44+114637.8,132.91856973876494,11.777183948015626,13.708972,14.01223,945.22327,13.248513,1219.7899,1.1465277837638408,0.018249443,0.9428567,62593.475390288164,10.336887,432,13.696044,13.9933605,13.237873,826.0054,838.57904,850.39557,830.3999,843.9032,860.37494,6377811980464426221,,,0,6377811980464426221,18.7362,0.0522,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.722,0.023,12.49,0.025,12.42,0.023,AAA,222,111,000,1,12.394,0.023,12.421,0.024,11.985,0.329,8.608,,0000,0,AABU,0000,                            ,,,,        ,
7282,604916770361557504,604916770361557504,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671262272291295,08514474+1146460 ,J085144.73+114645.9,132.93641374647984,11.779457484182506,12.7393675,13.212647,1021.6138,12.122733,1789.1998,1.1711187606178073,0.01837795,1.015419,152830.08621609228,28.647738,394,12.726845,13.183458,12.111678,824.52734,835.1811,850.2871,826.10516,836.47217,848.55927,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,15.28201,0.01167101,,,,,,,12.34747,0.01164839,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.357,0.021,10.918,0.022,10.822,0.017,AAA,222,111,000,1,10.787,0.022,10.871,0.02,10.672,0.103,8.946,,0000,0,AAAU,0000,                            ,,,,        ,
7283,604916804721291776,604916804721291776,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671262272290982,08514742+1147096 ,J085147.41+114709.6,132.94758829294423,11.786027240488917,14.127201,14.539768,731.9529,13.555336,994.602,1.1401604588075593,0.025191784,1.1609193,42532.03827647153,6.783397,426,14.115577,14.516032,13.545325,830.68146,846.0633,867.07306,820.24255,837.6682,854.7795,6377811980464426329,,,0,6377811980464426329,20.2441,0.1191,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.88,0.023,12.496,0.025,12.372,0.024,AAA,222,111,000,1,12.36,0.024,12.416,0.025,12.499,,8.859,,d000,0,AAUU,0000,                            ,,,,        ,
7284,604916839081025280,604916839081025280,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671262272291475,08515098+1147464 ,J085150.97+114746.4,132.96242785465233,11.796234736076887,15.503181,16.179214,409.09192,14.711088,792.4004,1.1907763139891792,0.037798572,1.0647601,12019.93710064537,3.5160127,419,15.487612,16.152365,14.701262,789.2387,815.1166,839.8305,785.1543,811.9741,835.2616,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,16.50373,0.009275177,15.43454,0.008517439,15.05489,0.008727081,14.83165,0.01193653,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,13.732,0.025,13.162,0.028,12.951,0.025,AAA,222,111,000,1,12.938,0.023,13.0,0.028,11.99,0.336,8.593,,0000,0,AABU,0000,                            ,,,,        ,
7285,604916873440765696,604916873440765696,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671262272291010,08514867+1147356 ,J085148.65+114735.5,132.95277597884447,11.79322387937183,14.608337,15.006539,862.9176,14.046785,1075.0848,1.1333270458433289,0.02928187,0.92501676,27345.96628083675,5.3506107,420,14.595134,14.982977,14.037757,831.4999,850.5069,873.16907,831.0986,848.38965,869.5273,6377811980464426365,,,0,6377811980464426365,20.8174,0.1656,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,13.365,0.024,12.976,0.03,12.899,0.023,AAA,222,111,000,1,12.871,0.023,12.922,0.027,11.837,,8.793,,0000,0,AAUU,0000,                            ,,,,        ,
7286,604916873440769152,604916873440769152,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671262272291021,08514507+1147459 ,J085145.07+114745.8,132.93782178886187,11.796103110295736,11.217561,11.773807,846.5115,10.555292,1837.6094,1.2508955092582283,0.025373273,1.3515182,611558.8935770937,165.85425,426,11.2212715,11.743878,10.544621,763.98285,778.54663,793.3093,768.56946,781.6377,799.5529,6377811980464426379,,,0,6377811980464426379,19.7848,0.0901,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,9.684,0.022,9.183,0.023,9.045,0.018,AAA,222,111,000,1,8.991,0.022,9.095,0.02,8.984,0.032,8.843,0.535,0000,0,AAAC,0000,                            ,,,,        ,
7287,604916903504793856,604916903504793856,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671262272290998,08514894+1148021 ,J085148.93+114802.1,132.9539371361315,11.800614386908377,14.343983,14.6891575,1075.6646,13.837406,755.3465,1.1751151657797319,0.024137752,1.0057005,34882.5632908292,6.8394527,427,14.330846,14.6671295,13.827765,804.3271,816.3248,831.44794,802.1948,818.3862,837.0243,6377811980464426414,,,0,6377811980464426414,20.1088,0.1084,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,13.288,0.023,12.973,0.026,12.854,0.024,AAA,222,111,000,1,12.886,0.023,12.951,0.027,12.269,,8.913,,0000,0,AAUU,0000,                            ,,,,        ,
7288,604916976519989248,604916976519989248,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671262272290986,08514149+1147361 ,J085141.48+114736.1,132.92289613442213,11.793381956370517,13.9570675,14.283782,905.2291,13.4689865,1447.7015,1.1718476550398178,0.02097914,1.0040029,49801.8430893488,8.4938345,413,13.944253,14.263831,13.459221,805.6435,821.2499,838.3479,805.8389,823.811,836.9657,6377811980464426360,,,0,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.912,0.023,12.601,0.028,12.531,0.023,AAA,222,111,000,1,12.531,0.023,12.568,0.026,12.432,,8.86,,0000,0,AAUU,0000,                            ,,,,        ,
7289,604916976519990272,604916976519990272,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671262272291664,08514157+1147132 ,J085141.56+114713.0,132.92324562030657,11.786992776334547,19.528265,20.461802,8.6379595,18.246693,40.225533,0.5697568404416506,0.3646004,0.99047,309.95362818206866,0.74907815,447,19.459126,20.60578,18.289759,1075.7004,1525.1136,2321.803,856.3042,1018.049,1175.1903,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,21.49197,0.0451691,19.99135,0.0193387,18.72635,0.01259964,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,16.575,0.129,15.854,0.169,15.743,0.215,BCC,222,111,000,1,15.781,0.05,15.791,0.146,12.131,,8.786,,d000,0,ABUU,0000,                            ,,,,        ,
7290,604916976519992192,604916976519992192,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,-9223372036854775808,08513927+1147433 ,                   ,132.91368908947908,11.795381411661635,16.785778,17.493689,189.71674,15.96017,304.4459,1.1156850678286436,0.06804842,0.9934172,3716.139946817245,2.0188243,406,16.762136,17.473774,15.951523,812.0112,871.7481,924.5621,804.58325,851.72076,901.73157,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,14.985,0.039,14.303,0.047,14.229,0.051,AAA,222,111,000,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
7291,604917006584145792,604917006584145792,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,-9223372036854775808,08513526+1147399 ,                   ,132.89689089857433,11.794373580468543,18.616337,19.5441,15.841617,17.485056,77.8684,1.0405319178187047,0.20200571,0.9694036,711.4186397333268,1.1283001,420,18.557055,19.779646,17.505602,821.0729,971.0914,1140.933,726.5905,787.4881,893.7684,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,16.15,0.088,15.329,0.096,15.082,0.122,AAB,222,111,000,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
7292,604917010879734528,604917010879734528,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671262272290997,08513607+1147470 ,J085136.06+114747.0,132.9003138891556,11.796402380134445,14.31733,14.660349,981.47876,13.811548,971.97534,1.1675831516078405,0.02378883,1.0018861,35747.17758249481,6.4585443,438,14.304262,14.64014,13.803463,808.3909,825.5703,843.22815,807.93024,823.94666,842.4981,6377811980464426363,,,0,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,13.216,0.022,12.921,0.024,12.844,0.025,AAA,222,111,000,1,12.842,0.023,12.905,0.027,12.41,0.501,8.861,,0000,0,AACU,0000,                            ,,,,        ,
7293,604917045239468544,604917045239468544,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671262272290977,08513904+1147553 ,J085139.07+114755.5,132.91271220219093,11.798725963409037,13.568491,13.906274,1167.1808,13.070153,1544.8346,1.1531446485802408,0.018383171,1.0061232,71224.60218222758,9.909212,433,13.555792,13.884696,13.061352,818.75916,833.206,848.6874,827.2317,839.569,849.9325,6377811980464426390,,,0,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.501,0.021,12.199,0.022,12.146,0.023,AAA,222,111,000,1,12.496,0.211,12.577,0.181,10.212,,8.461,,0000,0,BBUU,0000,                            ,,,,        ,
